region,city,category,total_deals,average,Date
Eastern Province,Al Ahsa,Studio - Residential,119,13884.95146,2019-01-01
Eastern Province,Al Jubail,Studio - Residential,48,11644.44444,2019-01-01
Eastern Province,Al Khobar,Studio - Residential,328,13024.09722,2019-01-01
Eastern Province,Al Khafji,Studio - Residential,3,10066.66667,2019-01-01
Eastern Province,Dammam,Studio - Residential,543,11609.30876,2019-01-01
Eastern Province,Al Oyoun,Studio - Residential,1,7000.0,2019-01-01
Eastern Province,Al Qatif,Studio - Residential,5,8820.0,2019-01-01
Eastern Province,Al Nairyah,Studio - Residential,2,23400.0,2019-01-01
Eastern Province,Hafar Al Batin,Studio - Residential,7,13920.0,2019-01-01
Eastern Province,Ras Tanura,Studio - Residential,15,9857.142857,2019-01-01
Eastern Province,Al Ahsa,Duplex - Residential,24,21576.69565,2019-01-01
Eastern Province,Al Jubail,Duplex - Residential,10,30300.0,2019-01-01
Eastern Province,Al Khobar,Duplex - Residential,52,46759.96,2019-01-01
Eastern Province,Al Khafji,Duplex - Residential,1,23500.0,2019-01-01
Eastern Province,Dammam,Duplex - Residential,86,41116.47059,2019-01-01
Eastern Province,Al Qatif,Duplex - Residential,21,26500.9,2019-01-01
Eastern Province,Ras Tanura,Duplex - Residential,2,14000.0,2019-01-01
Eastern Province,Al Ahsa,Floor - Residential,92,14500.86585,2019-01-01
Eastern Province,Al Jubail,Floor - Residential,4,36750.0,2019-01-01
Eastern Province,Al Khobar,Floor - Residential,51,29025.64103,2019-01-01
Eastern Province,Al Khafji,Floor - Residential,2,25000.0,2019-01-01
Eastern Province,Dammam,Floor - Residential,135,34087.1626,2019-01-01
Eastern Province,Al Oyoun,Floor - Residential,10,13019.77778,2019-01-01
Eastern Province,Al Qatif,Floor - Residential,14,22058.42857,2019-01-01
Eastern Province,Al Qaisumah,Floor - Residential,1,8400.0,2019-01-01
Eastern Province,Al Nairyah,Floor - Residential,6,17500.0,2019-01-01
Eastern Province,Buqayq,Floor - Residential,1,27000.0,2019-01-01
Eastern Province,Hafar Al Batin,Floor - Residential,14,13576.15385,2019-01-01
Eastern Province,Ras Tanura,Floor - Residential,8,29389.57143,2019-01-01
Eastern Province,Al Ahsa,Apartment - Residential,2222,13055.69442,2019-01-01
Eastern Province,Al Jubail,Apartment - Residential,1855,19384.93064,2019-01-01
Eastern Province,Al Khobar,Apartment - Residential,3275,19945.38665,2019-01-01
Eastern Province,Al Khafji,Apartment - Residential,80,14358.37288,2019-01-01
Eastern Province,Dammam,Apartment - Residential,5987,18169.8938,2019-01-01
Eastern Province,Al Dhibiyah,Apartment - Residential,2,18000.0,2019-01-01
Eastern Province,Al Oyoun,Apartment - Residential,47,14969.82927,2019-01-01
Eastern Province,Al Qatif,Apartment - Residential,469,17422.9,2019-01-01
Eastern Province,Al Qaisumah,Apartment - Residential,22,15594.21053,2019-01-01
Eastern Province,Al Nairyah,Apartment - Residential,42,13590.52632,2019-01-01
Eastern Province,Buqayq,Apartment - Residential,10,16054.5,2019-01-01
Eastern Province,Hafar Al Batin,Apartment - Residential,146,12400.65546,2019-01-01
Eastern Province,Ras Tanura,Apartment - Residential,260,16616.47706,2019-01-01
Eastern Province,Al Ahsa,Villa - Residential,10,24100.0,2019-01-01
Eastern Province,Al Khobar,Villa - Residential,43,62000.11905,2019-01-01
Eastern Province,Dammam,Villa - Residential,87,49385.3,2019-01-01
Eastern Province,Al Qatif,Villa - Residential,2,24681.5,2019-01-01
Eastern Province,Al Qaisumah,Villa - Residential,1,14400.0,2019-01-01
Eastern Province,Buqayq,Villa - Residential,1,32000.0,2019-01-01
Eastern Province,Al Ahsa,Studio - Residential,109,11520.89109,2019-04-01
Eastern Province,Al Jubail,Studio - Residential,45,11831.11111,2019-04-01
Eastern Province,Al Khobar,Studio - Residential,278,13824.81308,2019-04-01
Eastern Province,Al Khafji,Studio - Residential,10,11466.66667,2019-04-01
Eastern Province,Dammam,Studio - Residential,511,11612.21991,2019-04-01
Eastern Province,Al Qatif,Studio - Residential,6,13240.0,2019-04-01
Eastern Province,Al Nairyah,Studio - Residential,5,13680.0,2019-04-01
Eastern Province,Hafar Al Batin,Studio - Residential,29,14896.0,2019-04-01
Eastern Province,Ras Tanura,Studio - Residential,14,9415.384615,2019-04-01
Eastern Province,Al Ahsa,Duplex - Residential,14,21392.30769,2019-04-01
Eastern Province,Al Jubail,Duplex - Residential,8,34000.0,2019-04-01
Eastern Province,Al Khobar,Duplex - Residential,134,58640.51938,2019-04-01
Eastern Province,Dammam,Duplex - Residential,110,35775.44762,2019-04-01
Eastern Province,Al Qatif,Duplex - Residential,11,28111.11111,2019-04-01
Eastern Province,Hafar Al Batin,Duplex - Residential,1,20000.0,2019-04-01
Eastern Province,Ras Tanura,Duplex - Residential,3,28833.33333,2019-04-01
Eastern Province,Al Ahsa,Floor - Residential,77,19895.78082,2019-04-01
Eastern Province,Al Jubail,Floor - Residential,3,55166.66667,2019-04-01
Eastern Province,Al Khobar,Floor - Residential,70,32874.5082,2019-04-01
Eastern Province,Al Khafji,Floor - Residential,3,20266.66667,2019-04-01
Eastern Province,Dammam,Floor - Residential,175,28183.42763,2019-04-01
Eastern Province,Al Oyoun,Floor - Residential,9,14314.28571,2019-04-01
Eastern Province,Al Qatif,Floor - Residential,8,19427.25,2019-04-01
Eastern Province,Al Qaisumah,Floor - Residential,4,13500.0,2019-04-01
Eastern Province,Al Nairyah,Floor - Residential,9,14870.0,2019-04-01
Eastern Province,Buqayq,Floor - Residential,4,24250.0,2019-04-01
Eastern Province,Hafar Al Batin,Floor - Residential,24,12944.91304,2019-04-01
Eastern Province,Ras Tanura,Floor - Residential,9,21613.5,2019-04-01
Eastern Province,Al Ahsa,Apartment - Residential,1926,13437.54174,2019-04-01
Eastern Province,Al Jubail,Apartment - Residential,1069,20103.08571,2019-04-01
Eastern Province,Al Khobar,Apartment - Residential,3390,20298.38882,2019-04-01
Eastern Province,Al Khafji,Apartment - Residential,88,14129.73418,2019-04-01
Eastern Province,Dammam,Apartment - Residential,6394,18005.67603,2019-04-01
Eastern Province,Al Dhibiyah,Apartment - Residential,4,16000.0,2019-04-01
Eastern Province,Al Oyoun,Apartment - Residential,30,17353.76923,2019-04-01
Eastern Province,Al Qatif,Apartment - Residential,434,17830.98744,2019-04-01
Eastern Province,Al Qaisumah,Apartment - Residential,8,11550.0,2019-04-01
Eastern Province,Al Nairyah,Apartment - Residential,59,13156.77083,2019-04-01
Eastern Province,Buqayq,Apartment - Residential,13,26198.1,2019-04-01
Eastern Province,Hafar Al Batin,Apartment - Residential,136,11563.15,2019-04-01
Eastern Province,Ras Tanura,Apartment - Residential,280,16650.56225,2019-04-01
Eastern Province,Qaryat Al Ulya,Apartment - Residential,1,12000.0,2019-04-01
Eastern Province,Al Ahsa,Villa - Residential,9,26383.77778,2019-04-01
Eastern Province,Al Khobar,Villa - Residential,64,62556.01667,2019-04-01
Eastern Province,Dammam,Villa - Residential,96,46597.375,2019-04-01
Eastern Province,Al Qatif,Villa - Residential,7,30300.0,2019-04-01
Eastern Province,Al Nairyah,Villa - Residential,1,10000.0,2019-04-01
Eastern Province,Buqayq,Villa - Residential,1,90000.0,2019-04-01
Eastern Province,Al Ahsa,Studio - Residential,166,11965.43624,2019-07-01
Eastern Province,Al Jubail,Studio - Residential,47,12674.46809,2019-07-01
Eastern Province,Al Khobar,Studio - Residential,313,13324.96454,2019-07-01
Eastern Province,Al Khafji,Studio - Residential,37,11055.88235,2019-07-01
Eastern Province,Dammam,Studio - Residential,647,12303.8167,2019-07-01
Eastern Province,Al Oyoun,Studio - Residential,4,27432.0,2019-07-01
Eastern Province,Al Qatif,Studio - Residential,9,9488.888888,2019-07-01
Eastern Province,Al Nairyah,Studio - Residential,19,19389.47368,2019-07-01
Eastern Province,Hafar Al Batin,Studio - Residential,54,13430.76923,2019-07-01
Eastern Province,Ras Tanura,Studio - Residential,11,10200.0,2019-07-01
Eastern Province,Al Ahsa,Duplex - Residential,18,23961.22222,2019-07-01
Eastern Province,Al Jubail,Duplex - Residential,11,31265.88889,2019-07-01
Eastern Province,Al Khobar,Duplex - Residential,67,50545.63077,2019-07-01
Eastern Province,Al Khafji,Duplex - Residential,2,37500.0,2019-07-01
Eastern Province,Dammam,Duplex - Residential,150,40112.35211,2019-07-01
Eastern Province,Al Qatif,Duplex - Residential,9,23458.25,2019-07-01
Eastern Province,Buqayq,Duplex - Residential,1,25000.0,2019-07-01
Eastern Province,Hafar Al Batin,Duplex - Residential,2,20000.0,2019-07-01
Eastern Province,Ras Tanura,Duplex - Residential,5,20900.0,2019-07-01
Eastern Province,Al Ahsa,Floor - Residential,96,20495.97647,2019-07-01
Eastern Province,Al Jubail,Floor - Residential,4,17250.0,2019-07-01
Eastern Province,Al Khobar,Floor - Residential,86,30897.58904,2019-07-01
Eastern Province,Al Khafji,Floor - Residential,14,17775.84615,2019-07-01
Eastern Province,Dammam,Floor - Residential,167,28632.83108,2019-07-01
Eastern Province,Al Sadowi,Floor - Residential,1,6000.0,2019-07-01
Eastern Province,Al Oyoun,Floor - Residential,5,20927.2,2019-07-01
Eastern Province,Al Qatif,Floor - Residential,15,23844.4,2019-07-01
Eastern Province,Al Qaisumah,Floor - Residential,8,14400.0,2019-07-01
Eastern Province,Al Nairyah,Floor - Residential,4,26666.66667,2019-07-01
Eastern Province,Buqayq,Floor - Residential,6,72500.0,2019-07-01
Eastern Province,Hafar Al Batin,Floor - Residential,31,17237.17241,2019-07-01
Eastern Province,Ras Tanura,Floor - Residential,5,24200.0,2019-07-01
Eastern Province,Al Ahsa,Apartment - Residential,2518,13094.81826,2019-07-01
Eastern Province,Al Jubail,Apartment - Residential,1054,19932.19531,2019-07-01
Eastern Province,Al Khobar,Apartment - Residential,4170,19917.96974,2019-07-01
Eastern Province,Al Khafji,Apartment - Residential,184,14048.29299,2019-07-01
Eastern Province,Dammam,Apartment - Residential,8036,17807.81525,2019-07-01
Eastern Province,Al Dhibiyah,Apartment - Residential,18,22720.0,2019-07-01
Eastern Province,Al Oyoun,Apartment - Residential,46,14174.90909,2019-07-01
Eastern Province,Al Qatif,Apartment - Residential,511,17011.0859,2019-07-01
Eastern Province,Al Qaisumah,Apartment - Residential,18,12129.93333,2019-07-01
Eastern Province,Al Nairyah,Apartment - Residential,94,12819.40278,2019-07-01
Eastern Province,Buqayq,Apartment - Residential,20,17669.78947,2019-07-01
Eastern Province,Hafar Al Batin,Apartment - Residential,351,12207.70764,2019-07-01
Eastern Province,Ras Tanura,Apartment - Residential,287,15426.88312,2019-07-01
